"species","site","lat","long","confidence","region","salinity"
"Leptodiaptomus minutus","Fresh Pond",41.518147,-70.658595,"medium","Woods Hole","fresh water"
"Leptodiaptomus minutus","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Leptodiaptomus minutus","Mashpee Pond (Wakeby Pond)",41.664209,-70.486267,"high","Cape Cod","fresh water"
"Leptodiaptomus minutus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Leptodiaptomus minutus","Lovells Pond",41.648461,-70.441941,"high","Cape Cod","fresh water"
"Leptodiaptomus minutus","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water"
"Leptodiaptomus minutus","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Leptodiaptomus minutus","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Leptodiaptomus minutus","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water"
"Leptodiaptomus minutus","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water"
"Leptodiaptomus minutus","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water"
"Leptodiaptomus minutus","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water"
"Leptodiaptomus minutus","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Leptodiaptomus minutus","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water"
"Leptodiaptomus minutus","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water"
"Leptodiaptomus minutus","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water"
"Leptodiaptomus minutus","Browns Pond (Spectacle Pond)",41.587796,-70.592626,"high","Falmouth","fresh water"
"Leptodiaptomus minutus","Jenkins Pond",41.596333,-70.585248,"high","Falmouth","fresh water"
"Leptodiaptomus minutus","Mares Pond",41.588429,-70.598089,"high","Falmouth","fresh water"
"Leptodiaptomus minutus","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water"
"Onychodiaptomus sanguineus","Ice Pond (2)",41.417616,-70.940987,"high","Elizabeth Islands","fresh water"
"Aglaodiaptomus leptopus","Pond in western outskirts of Edgartown",41.386643,-70.537141,"low","Marthas Vineyard","fresh water"
"Aglaodiaptomus spatulocrenatus","Lily Pond (3)",41.625968,-70.536439,"medium","Falmouth","fresh water"
"Aglaodiaptomus spatulocrenatus","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water"
"Aglaodiaptomus spatulocrenatus","Mares Pond",41.588429,-70.598089,"high","Falmouth","fresh water"
"Aglaodiaptomus spatulocrenatus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Aglaodiaptomus spatulocrenatus","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Aglaodiaptomus spatulocrenatus","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water"
"Aglaodiaptomus spatulocrenatus","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water"
"Onychodiaptomus birgei","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Onychodiaptomus birgei","Lily Pond (2)",41.565882,-70.648965,"medium","Falmouth","fresh water"
"Onychodiaptomus birgei","Lily Pond (1)",41.519596,-70.654581,"medium","Woods Hole","fresh water"
"Onychodiaptomus birgei","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water"
"Onychodiaptomus birgei","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Skistodiaptomus pygmaeus","Bournes Pond",41.601379,-70.637841,"medium","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Jenkins Pond",41.596333,-70.585248,"high","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Jones Pond",41.562196,-70.606787,"high","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Browns Pond (Spectacle Pond)",41.587796,-70.592626,"high","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Sidleys Pond",41.549119,-70.622066,"medium","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Salt Pond",41.542503,-70.627012,"high","Falmouth","fresh water"
"Skistodiaptomus pygmaeus","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water"
"Skistodiaptomus pygmaeus","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water"
"Skistodiaptomus pygmaeus","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water"
"Skistodiaptomus pygmaeus","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water"
"Skistodiaptomus pygmaeus","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water"
"Skistodiaptomus pygmaeus","Mashpee Pond (Wakeby Pond)",41.664209,-70.486267,"high","Cape Cod","fresh water"
"Epischura nordenskiöldi","Lily Pond (3)",41.625968,-70.536439,"medium","Falmouth","fresh water"
"Epischura nordenskiöldi","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Epischura nordenskiöldi","pond beside State road",NA,NA,"","Falmouth","fresh water"
"Epischura nordenskiöldi","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water"
"Epischura nordenskiöldi","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water"
"Epischura nordenskiöldi","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water"
"Epischura nordenskiöldi","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Epischura nordenskiöldi","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Epischura nordenskiöldi","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water"
"Epischura nordenskiöldi","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Epischura nordenskiöldi","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Epischura nordenskiöldi","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water"
"Epischura nordenskiöldi","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water"
"Epischura nordenskiöldi","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water"
"Epischura nordenskiöldi","Clear Pond",41.686816,-69.972661,"low","Cape Cod","fresh water"
"Eurytemora hirundoides","Salt Pond",41.542503,-70.627012,"high","Falmouth","fresh water"
"Eurytemora hirundoides","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water"
"Eurytemora hirundoides","Quissett Pond",41.537126,-70.656676,"low","Woods Hole","brackish"
"Eurytemora hirundoides","Waquoit Bay",41.566571,-70.522536,"high","Falmouth","brackish"
"Eurytemora hirundoides","Edgartown Great Pond",41.353648,-70.559283,"high","Marthas Vineyard","brackish"
"Eurytemora hirundoides","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Eurytemora hirundoides","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water"
"Eurytemora hirundoides","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Eurytemora hirundoides","Lower Gosnold Pond",41.41371,-70.946912,"high","Elizabeth Islands","brackish"
"Eurytemora hirundoides","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Eurytemora hirundoides","Oak Bluffs Pond",41.458892,-70.579088,"low","Marthas Vineyard","brackish"
"Eurytemora hirundoides","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish"
"Eurytemora hirundoides","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish"
"Eurytemora hirundoides","Tarpaulin Cove Pond",NA,NA,"","Elizabeth Islands","fresh water"
"Eurytemora hirundoides","Brackish Pond (1)",41.355916,-70.467452,"low","Chappaquiddick Island","brackish"
"Eurytemora hirundoides","Brackish Pond (2)",41.352421,-70.465362,"low","Chappaquiddick Island","brackish"
"Eurytemora affinis","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish"
"Eurytemora lacustris","Quissett Pond",41.537126,-70.656676,"low","Woods Hole","brackish"
"Eurytemora lacustris","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water"
"Eurytemora lacustris","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Eurytemora lacustris","Brackish Pond (1)",41.355916,-70.467452,"low","Chappaquiddick Island","brackish"
"Eurytemora lacustris","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish"
"Eurytemora lacustris","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Eurytemora lacustris","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish"
"Eurytemora lacustris","Oak Bluffs Pond",41.458892,-70.579088,"low","Marthas Vineyard","brackish"
"Acartia tonsa","Eel Pond",41.56151,-70.538146,"high","Falmouth","brackish"
"Acartia tonsa","Great Pond (1)",41.558352,-70.582171,"high","Falmouth","brackish"
"Acartia tonsa","Green Pond",41.558845,-70.569527,"high","Falmouth","brackish"
"Acartia tonsa","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Acartia tonsa","the small pond at the head of the bay (Waquoit)",41.581716,-70.518867,"low","Falmouth","brackish"
"Acartia tonsa","Waquoit Bay",41.566571,-70.522536,"high","Falmouth","brackish"
"Acartia tonsa","Oak Bluffs Pond",41.458892,-70.579088,"low","Marthas Vineyard","brackish"
"Acartia tonsa","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish"
"Acartia tonsa","Sengekontacket Pond",41.410956,-70.549244,"high","Marthas Vineyard","brackish"
"Acartia tonsa","Nashaquitsa Pond",41.327424,-70.767612,"high","Marthas Vineyard","brackish"
"Acartia tonsa","Edgartown Great Pond",41.353648,-70.559283,"high","Marthas Vineyard","brackish"
"Acartia tonsa","two of the small ponds along the shore of Katama Bay",NA,NA,"","Chappaquiddick Island","brackish"
"Acartia tonsa","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Acartia tonsa","Lower Gosnold Pond",41.41371,-70.946912,"high","Elizabeth Islands","brackish"
"Acartia tonsa","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Acartia tonsa","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Acartia tonsa","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish"
"Megacyclops viridis","Salt Pond",41.542503,-70.627012,"high","Falmouth","fresh water"
"Megacyclops viridis","Sidleys Pond",41.549119,-70.622066,"medium","Falmouth","fresh water"
"Megacyclops viridis","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water"
"Megacyclops viridis","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water"
"Megacyclops viridis","Lily Pond (3)",41.625968,-70.536439,"medium","Falmouth","fresh water"
"Megacyclops viridis","Ice Pond (2)",41.417616,-70.940987,"high","Elizabeth Islands","fresh water"
"Megacyclops viridis","a small pond near Chatham",NA,NA,"","Cape Cod","fresh water"
"Megacyclops viridis","Uncatena Pond",41.518719,-70.704651,"medium","Elizabeth Islands","fresh water"
"Megacyclops viridis","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water"
"Megacyclops viridis","Jones Pond",41.562196,-70.606787,"high","Falmouth","fresh water"
"Megacyclops viridis","Tarpaulin Cove Pond",NA,NA,"","Elizabeth Islands","fresh water"
"Megacyclops viridis","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Diacyclops bicuspidatus","a pond in Woods Hole",NA,NA,"","Woods Hole","fresh water"
"Microcyclops varicans","three of the brackish ponds on Chappaquiddick Island",NA,NA,"","Chappaquiddick Island","brackish"
"Microcyclops varicans","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish"
"Microcyclops varicans","Quissett Pond",41.537126,-70.656676,"low","Woods Hole","brackish"
"Microcyclops varicans","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Microcyclops varicans","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish"
"Microcyclops bicolor","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Microcyclops bicolor","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish"
"Microcyclops bicolor","Weedy Pond",41.686275,-69.979759,"low","Cape Cod","fresh water"
"Orthocyclops modestus","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Mesocyclops obsoletus","Bournes Pond",41.601379,-70.637841,"medium","Falmouth","fresh water"
"Mesocyclops obsoletus","two of the small ponds on the road from Woods Hole to Falmouth",NA,NA,"","Woods Hole","fresh water"
"Mesocyclops obsoletus","Mill Pond",41.528492,-70.671882,"high","Woods Hole","fresh water"
"Mesocyclops obsoletus","Lily Pond (1)",41.519596,-70.654581,"medium","Woods Hole","fresh water"
"Mesocyclops obsoletus","Fresh Pond",41.518147,-70.658595,"medium","Woods Hole","fresh water"
"Mesocyclops obsoletus","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water"
"Mesocyclops obsoletus","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Mesocyclops obsoletus","Jones Pond",41.562196,-70.606787,"high","Falmouth","fresh water"
"Mesocyclops obsoletus","East Falmouth Pond",41.579872,-70.563409,"medium","Falmouth","fresh water"
"Mesocyclops obsoletus","Lily Pond (3)",41.625968,-70.536439,"medium","Falmouth","fresh water"
"Mesocyclops obsoletus","Bournes Pond",41.601379,-70.637841,"medium","Falmouth","fresh water"
"Mesocyclops obsoletus","Browns Pond (Spectacle Pond)",41.587796,-70.592626,"high","Falmouth","fresh water"
"Mesocyclops obsoletus","Jenkins Pond",41.596333,-70.585248,"high","Falmouth","fresh water"
"Mesocyclops obsoletus","Mares Pond",41.588429,-70.598089,"high","Falmouth","fresh water"
"Mesocyclops obsoletus","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water"
"Mesocyclops obsoletus","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Santuit Pond",41.653906,-70.457745,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Ashumet Pond",41.633142,-70.53373,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water"
"Mesocyclops obsoletus","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Lovells Pond",41.648461,-70.441941,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Mesocyclops obsoletus","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water"
"Mesocyclops obsoletus","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Mesocyclops obsoletus","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Mesocyclops obsoletus","Flax Pond (3)",41.716155,-70.187409,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Scargo Lake",41.742405,-70.18285,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water"
"Mesocyclops obsoletus","Tarpaulin Cove Pond",NA,NA,"","Elizabeth Islands","fresh water"
"Mesocyclops obsoletus","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water"
"Mesocyclops obsoletus","Marys Lake",41.506072,-70.713589,"high","Elizabeth Islands","fresh water"
"Mesocyclops obsoletus","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Mesocyclops obsoletus","Edgartown Great Pond",41.353648,-70.559283,"high","Marthas Vineyard","brackish"
"Mesocyclops obsoletus","Pond in western outskirts of Edgartown",41.386643,-70.537141,"low","Marthas Vineyard","fresh water"
"Macrocyclops fuscus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Macrocyclops fuscus","Jones Pond",41.562196,-70.606787,"high","Falmouth","fresh water"
"Macrocyclops fuscus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
"Macrocyclops albidus","Mill Pond",41.528492,-70.671882,"high","Woods Hole","fresh water"
"Macrocyclops albidus","Salt Pond",41.542503,-70.627012,"high","Falmouth","fresh water"
"Macrocyclops albidus","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water"
"Macrocyclops albidus","Sidleys Pond",41.549119,-70.622066,"medium","Falmouth","fresh water"
"Macrocyclops albidus","Little Pond",41.551214,-70.588759,"high","Falmouth","fresh water"
"Macrocyclops albidus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Macrocyclops albidus","two small ponds on the main road west of Chatham",NA,NA,"","Cape Cod","fresh water"
"Macrocyclops albidus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
"Macrocyclops albidus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Macrocyclops albidus","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water"
"Macrocyclops albidus","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Eucyclops pectinifer","Mill Pond",41.528492,-70.671882,"high","Woods Hole","fresh water"
"Eucyclops pectinifer","Lily Pond (1)",41.519596,-70.654581,"medium","Woods Hole","fresh water"
"Eucyclops pectinifer","Fresh Pond",41.518147,-70.658595,"medium","Woods Hole","fresh water"
"Eucyclops pectinifer","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Lovells Pond",41.648461,-70.441941,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Round Pond",41.667794,-70.389451,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Ashumet Pond",41.633142,-70.53373,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Eucyclops pectinifer","Mashpee Pond (Wakeby Pond)",41.664209,-70.486267,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Santuit Pond",41.653906,-70.457745,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Scargo Lake",41.742405,-70.18285,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Flax Pond (3)",41.716155,-70.187409,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Clear Pond",41.686816,-69.972661,"low","Cape Cod","fresh water"
"Eucyclops pectinifer","Weedy Pond",41.686275,-69.979759,"low","Cape Cod","fresh water"
"Eucyclops pectinifer","a small pond near Chatham",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","two small ponds on the main road west of Chatham",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","Edgartown Great Pond",41.353648,-70.559283,"high","Marthas Vineyard","brackish"
"Eucyclops pectinifer","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Uncatena Pond",41.518719,-70.704651,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Marys Lake",41.506072,-70.713589,"high","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Pond near lighthouse at Tarpaulin Cove",41.467297,-70.756949,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Pond near the beach north of the wharf at Tarpaulin Cove",41.473711,-70.761854,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","East End Pond",41.438474,-70.858237,"low","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Pond at southern end of Penikese Island",41.446666,-70.921949,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Ice Pond (2)",41.417616,-70.940987,"high","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Tarpaulin Cove Pond",NA,NA,"","Elizabeth Islands","fresh water"
"Tropocyclops prasinus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Tropocyclops prasinus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Tropocyclops prasinus","small pond near Edgartown",NA,NA,"","Marthas Vineyard","fresh water"
"Tropocyclops prasinus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
"Paracyclops fimbriatus","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Paracyclops fimbriatus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
